KOD_POCZTOWY,ADRES,MIEJSCOWOSC,WOJEWODZTWO,POWIAT
34651,"Skrytki Pocztowe Poczta Filia UP Limanowa 001, ul. Łososińska 23",Limanowa,małopolskie,Powiat limanowski
34652,Poczta Nowe Rybie,Nowe Rybie,małopolskie,Powiat limanowski
34654,Poczta Męcina,Męcina,małopolskie,Powiat limanowski
34700,"Poczta Rabka-Zdrój 001, ul. Orkana 22",Rabka-Zdrój,małopolskie,Powiat nowotarski
34700,"Skrytki Pocztowe Poczta Rabka-Zdrój 001, ul. Orkana 22",Rabka-Zdrój,małopolskie,Powiat nowotarski
34713,Poczta Skawa,Skawa,małopolskie,Powiat nowotarski
34720,Poczta Chabówka,Chabówka,małopolskie,Powiat nowotarski
34721,Poczta Raba Wyżna,Raba Wyżna,małopolskie,Powiat nowotarski
34722,"Poczta Podwilk na Orawie, ul. Podwilk 300",Podwilk,małopolskie,Powiat nowotarski
34723,Poczta Oddział UP Raba Wyżna,Sieniawa,małopolskie,Powiat nowotarski
34730,Poczta Mszana Dolna,Mszana Dolna,małopolskie,Powiat limanowski
34730,Skrytki Pocztowe Poczta Mszana Dolna,Mszana Dolna,małopolskie,Powiat limanowski
34732,Poczta Olszówka agencja pocztowa UP Mszana Dolna,Olszówka,małopolskie,Powiat limanowski
34733,Poczta Filia UP Mszana Dolna,Mszana Górna,małopolskie,Powiat limanowski
34734,Poczta Filia UP Mszana Dolna,Kasinka Mała,małopolskie,Powiat limanowski
34735,Poczta Niedźwiedź koło Limanowej,Niedźwiedź,małopolskie,Powiat limanowski
34736,Poczta Filia UP Mszana Dolna,Lubomierz,małopolskie,Powiat limanowski
35303,ul. Letnia,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Lipcowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Lotników,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Marynarzy,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Mieszka I od 1 do ostatniego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,"ul. Miodowa od 2 do 4, od 1 do ostatniego",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Nizinna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Orląt Lwowskich,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Słodka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Saperów,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Sierpniowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Wiosenna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Wrześniowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Wytrwałych,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Zimowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Zwiadowców,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35303,ul. Świętego Michała Archanioła,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35304,Al. Sikorskiego Władysława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35304,ul. Dołowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35304,ul. Kmicica Andrzeja,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35304,ul. Zagłoby,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35305,ul. Monte Cassino,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35306,ul. Żołnierzy Września,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35307,Al. Armii Krajowej,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35307,ul. Bohaterów 10 Sudeckiej Dywizji Piechoty,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35308,ul. Mieszka I od 2 do ostatniego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35308,ul. Ułanów,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35309,ul. Podwisłocze,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35310,Al. Rejtana Tadeusza od 2 do 48,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35310,ul. Cegielniana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35310,ul. Karowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35310,ul. Litawora,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35310,ul. Warzywna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35310,ul. Wierzbowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35310,ul. Świadka Witolda,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35311,ul. Kwiatkowskiego Eugeniusza,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35311,ul. Seniora,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35311,ul. Za Strugiem,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35312,ul. Biskupa Pelczara Józefa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35312,ul. Fabryczna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35312,ul. Koło,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35312,ul. Kępa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35312,ul. Piaskowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35312,ul. Podmiejska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35312,ul. Strażacka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35312,ul. Władysława Grabskiego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35312,ul. Zakładowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35313,ul. Makuszyńskiego Kornela,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35314,ul. Gościnna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35314,ul. Jachowicza Stanisława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35314,ul. Miła,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35315,ul. Majora Kopisto Wacława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35315,ul. Marzanny,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35316,"Poczta Rzeszów 016, ul. Tokarskiego 4",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35320,ul. Robaka Jana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Bruna Juliana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Chłędowskiego Kazimierza,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Dolna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Konfederatów Barskich,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Macha Wilhelma,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Michałowskiego Piotra,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Na Skały,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Na Stoku,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Nadbrzeżna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Ogrodowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Piętaka Stanisława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Polna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Stawowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,"ul. Szkolna od 20 do ostatniego, od 15 do ostatniego",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Traugutta Romualda,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Witwickiego Władysława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35321,ul. Ściegiennego Piotra,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Agatowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Ametystowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Brylantowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Bursztynowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Bystra,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Ciepłownicza,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Cyrkoniowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Diamentowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Górna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Grafitowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Hrabiego Potockiego Alfreda,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Hrabiny Tarnowskiej Wandy,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Jaspisowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Księżycowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Księdza Stączka Jana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Kwarcowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Lazurowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Modra,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Na Wzgórzu,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Nefrytowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Olchowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Perłowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Pogodna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Rubinowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Rzecha,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Spółdzielcza,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Spichlerzowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Szafirowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Szmaragdowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Torfowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Turkusowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Wąwozowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Wesoła,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Wyżynna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Załęska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Ziemiańskiego Jana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35322,ul. Świętego Floriana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. Bałtycka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. Cienista,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. Kaszubska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. Kujawska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. Marcina Filipa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. Morgowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. Podlaska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. Pomorska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. skwer imienia Księdza Infułata Walentego Bala,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. Tatrzańska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35323,ul. Tęczowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35324,ul. Mazowiecka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,"Al. Rejtana Tadeusza od 50 do ostatniego, od 1 do ostatniego",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,ul. Cicha,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,ul. Graniczna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,ul. Jazowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,ul. Nowowiejska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,ul. Sienna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,ul. Ładna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,ul. Urocza,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,ul. Zaciszna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,ul. Zielna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35326,ul. Zielona,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35327,"Poczta Rzeszów 010, Al. Profesora Krzyżanowskiego 6",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Cytadeli Warszawskiej,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Geodetów,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Kozienia Zdzisława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Księdza Popiełuszki Jerzego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Majora Dobrzańskiego Henryka Hubala,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Miodowa od 6 do ostatniego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Modrzejewskiej Heleny,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Norwida Cypriana Kamila,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Obrońców Helu,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Orkana Władysława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Ossolińskich,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,"ul. Paderewskiego Ignacego od nr 1 do nr 151, od nr 197 do ostatniego, od nr 198 do ostatniego",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Pawlikowskiej Jasnorzewskiej Marii,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Przybosia Juliana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Puszkina Aleksandra,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Struga Andrzeja,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35328,ul. Szymanowskiego Karola,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35329,Al. Powstańców Warszawy,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35329,Al. Profesora Krzyżanowskiego Adama,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,"Poczta Rzeszów 009, ul. Powstańców Śląskich 6",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Braci Aletańskich,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Chłapowskich Anny i Zygmunta,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Góreckiego Jana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Gajdka Ignacego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Gliwy Stanisława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Jakilińskiej Józefy,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Kiepury Jana nr 89,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Księdza Biskupa Betańskiego Antoniego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Księdza Kobaka Jana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Księdza Malinowskiego Romana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Księdza Pasterczyka Andrzeja,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Księdza Podgórskiego Adama,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Księdza Sulikowskiego Daniela,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Kulig-Tchórzewskiej Heleny,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Marka Wojciecha,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Michlewskiej Stefanii,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Na Jaworzu,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Niedziochy Mariana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Niemaszków Józefa i Romana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Paderewskiego Ignacego od nr 152 do nr 196,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Pileckich Ottona i Jana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Rodziny Kąkolów,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Rodziny Lutaków,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Słocińska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Stanio Władysława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Szajerów Heleny i Tomasza,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Wąsacza Jana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Wallis Zofii,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Wieczna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Wieniawskiego Henryka od nr 1 do nr 59,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Świętego Marcina,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Świętego Rocha,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Świętego Walentego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35330,ul. Świętej Faustyny,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35332,ul. Przyjazna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35332,ul. Skromna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35332,ul. Solidarna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35333,ul. Delikatna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35333,ul. Radosna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35333,ul. Łagodna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35404,"Poczta Rzeszów 014, ul. Biskupa Pelczara 6",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35410,"Poczta Rzeszów 012, ul. Podwisłocze 10",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35501,Al. Wyzwolenia,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35502,ul. Ropczycka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35502,ul. Tarnowska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35503,"ul. Dębicka od nr 1 do nr 51, od nr 2 do nr 114",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35504,ul. Gorlicka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35504,ul. Jasielska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35504,ul. Mielecka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35504,ul. Sanocka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35504,"ul. Ustrzycka od 1 do 117, od 2 do ostatniego",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35504,ul. Zakopiańska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35505,ul. Dukielska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35505,ul. Jana z Dukli,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35505,ul. Kościelna,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35505,ul. Krośnieńska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35505,ul. Krynicka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35505,ul. Niżańska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35505,ul. Sędziszowska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35505,ul. Strzyżowska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35506,"ul. Krakowska od 32 do nr 160, od nr 43 do nr 165",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35506,ul. Pułkownika Osmęckiego Kazimierza Iranka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35507,ul. Kapitana Brydaka Edwarda,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35507,ul. Nowosądecka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35507,ul. Synów Pułku,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35508,ul. Starzyńskiego Stefana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35509,ul. Obrońców Poczty Gdańskiej,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35510,ul. Ślusarczyka Franciszka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35511,ul. Prymasa Tysiąclecia,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35512,ul. Świętego Maksymiliana Marii Kolbego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35513,ul. Kapitana Raginisa Władysława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35515,"Poczta Rzeszów 017, ul. Starzyńskiego 2",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35601,ul. Ćwiklińskiej Mieczysławy,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35601,ul. Robotnicza,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35601,ul. Spacerowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35601,ul. Zelwerowicza Aleksandra,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,ul. Czajkowskiego Piotra,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,ul. Herberta Zbigniewa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,"ul. Kiepury Jana od nr 1 do 88, od nr 90 do ostatniego, od 91 do ostatniego",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,ul. Osterwy Juliusza,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,ul. Siemaszkowej Wandy,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,ul. Smosarskiej Jadwigi,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35603,ul. Dunikowskiego Xawerego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35603,ul. Wieniawskiego Henryka od nr 60 do ostatniego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Azaliowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
